INTID,hour,total_volume,los_score,LOS
1,2025-11-20 22:00:00,412.0,1,A
1,2025-11-20 23:00:00,213.0,1,A
1,2025-11-21 00:00:00,137.0,1,A
1,2025-11-21 01:00:00,139.0,1,A
1,2025-11-21 02:00:00,117.0,1,A
1,2025-11-21 03:00:00,111.0,1,A
1,2025-11-21 04:00:00,219.0,1,A
1,2025-11-21 05:00:00,621.0,1,A
1,2025-11-21 06:00:00,1044.0,1,A
1,2025-11-21 07:00:00,1578.0,1,A
1,2025-11-21 08:00:00,1467.0,1,A
1,2025-11-21 09:00:00,1288.0,1,A
1,2025-11-21 10:00:00,1315.0,1,A
1,2025-11-21 11:00:00,1433.0,1,A
1,2025-11-21 12:00:00,1445.0,1,A
1,2025-11-21 13:00:00,1484.0,1,A
1,2025-11-21 14:00:00,1754.0,1,A
1,2025-11-21 15:00:00,1869.0,1,A
1,2025-11-21 16:00:00,1864.0,1,A
1,2025-11-21 17:00:00,1579.0,1,A
1,2025-11-21 18:00:00,875.0,1,A
1,2025-11-21 19:00:00,770.0,1,A
1,2025-11-21 20:00:00,650.0,1,A
1,2025-11-21 21:00:00,529.0,1,A
1,2025-11-21 22:00:00,364.0,1,A
1,2025-11-21 23:00:00,193.0,1,A
1,2025-11-22 00:00:00,90.0,1,A
1,2025-11-22 01:00:00,69.0,1,A
1,2025-11-22 02:00:00,54.0,1,A
1,2025-11-22 03:00:00,29.0,1,A
1,2025-11-22 04:00:00,73.0,1,A
1,2025-11-22 05:00:00,193.0,1,A
1,2025-11-22 06:00:00,414.0,1,A
1,2025-11-22 07:00:00,601.0,1,A
1,2025-11-22 08:00:00,855.0,1,A
1,2025-11-22 09:00:00,1290.0,1,A
1,2025-11-22 10:00:00,1573.0,1,A
1,2025-11-22 11:00:00,1582.0,1,A
1,2025-11-22 12:00:00,1805.0,1,A
1,2025-11-22 13:00:00,1727.0,1,A
1,2025-11-22 14:00:00,1613.0,1,A
1,2025-11-22 15:00:00,1534.0,1,A
1,2025-11-22 16:00:00,1560.0,1,A
1,2025-11-22 17:00:00,1427.0,1,A
1,2025-11-22 18:00:00,965.0,1,A
1,2025-11-22 19:00:00,761.0,1,A
1,2025-11-22 20:00:00,651.0,1,A
1,2025-11-22 21:00:00,444.0,1,A
1,2025-11-22 22:00:00,316.0,1,A
1,2025-11-22 23:00:00,226.0,1,A
2,2025-11-16 00:00:00,412.0,1,A
2,2025-11-16 01:00:00,232.0,1,A
2,2025-11-16 02:00:00,194.0,1,A
2,2025-11-16 03:00:00,230.0,1,A
2,2025-11-16 04:00:00,371.0,1,A
2,2025-11-16 05:00:00,346.0,1,A
2,2025-11-16 06:00:00,487.0,1,A
2,2025-11-16 07:00:00,899.0,1,A
2,2025-11-16 08:00:00,1595.0,1,A
2,2025-11-16 09:00:00,2333.0,1,A
2,2025-11-16 10:00:00,2673.0,2,B
2,2025-11-16 11:00:00,3021.0,2,B
2,2025-11-16 12:00:00,3527.0,2,B
2,2025-11-16 13:00:00,3094.0,2,B
2,2025-11-16 14:00:00,3075.0,2,B
2,2025-11-16 15:00:00,2996.0,2,B
2,2025-11-16 16:00:00,3081.0,2,B
2,2025-11-16 17:00:00,2703.0,2,B
2,2025-11-16 18:00:00,2273.0,1,A
2,2025-11-16 19:00:00,1719.0,1,A
2,2025-11-16 20:00:00,1416.0,1,A
2,2025-11-16 21:00:00,941.0,1,A
2,2025-11-16 22:00:00,599.0,1,A
2,2025-11-16 23:00:00,344.0,1,A
2,2025-11-17 00:00:00,226.0,1,A
2,2025-11-17 01:00:00,84.0,1,A
2,2025-11-17 02:00:00,84.0,1,A
2,2025-11-17 03:00:00,188.0,1,A
2,2025-11-17 04:00:00,572.0,1,A
2,2025-11-17 05:00:00,867.0,1,A
2,2025-11-17 06:00:00,1852.0,1,A
2,2025-11-17 07:00:00,3671.0,3,C
2,2025-11-17 08:00:00,3649.0,3,C
2,2025-11-17 09:00:00,2975.0,2,B
2,2025-11-17 10:00:00,2844.0,2,B
2,2025-11-17 11:00:00,3144.0,2,B
2,2025-11-17 12:00:00,3430.0,2,B
2,2025-11-17 13:00:00,3074.0,2,B
2,2025-11-17 14:00:00,3519.0,2,B
2,2025-11-17 15:00:00,4054.0,3,C
2,2025-11-17 16:00:00,4021.0,3,C
2,2025-11-17 17:00:00,3796.0,2,B
2,2025-11-17 18:00:00,2931.0,2,B
2,2025-11-17 19:00:00,2035.0,1,A
2,2025-11-17 20:00:00,1641.0,1,A
2,2025-11-17 21:00:00,974.0,1,A
2,2025-11-17 22:00:00,600.0,1,A
2,2025-11-17 23:00:00,356.0,1,A
2,2025-11-18 00:00:00,169.0,1,A
2,2025-11-18 01:00:00,113.0,1,A
2,2025-11-18 02:00:00,119.0,1,A
2,2025-11-18 03:00:00,217.0,1,A
2,2025-11-18 04:00:00,598.0,1,A
2,2025-11-18 05:00:00,929.0,1,A
2,2025-11-18 06:00:00,2018.0,2,B
2,2025-11-18 07:00:00,3854.0,3,C
2,2025-11-18 08:00:00,3724.0,3,C
2,2025-11-18 09:00:00,3060.0,2,B
2,2025-11-18 10:00:00,2908.0,2,B
2,2025-11-18 11:00:00,3277.0,2,B
2,2025-11-18 12:00:00,3372.0,2,B
2,2025-11-18 13:00:00,3227.0,2,B
2,2025-11-18 14:00:00,3701.0,2,B
2,2025-11-18 15:00:00,4219.0,3,C
2,2025-11-18 16:00:00,3904.0,2,B
2,2025-11-18 17:00:00,3551.0,2,B
2,2025-11-18 18:00:00,3064.0,2,B
2,2025-11-18 19:00:00,2108.0,1,A
2,2025-11-18 20:00:00,1584.0,1,A
2,2025-11-18 21:00:00,1106.0,1,A
2,2025-11-18 22:00:00,681.0,1,A
2,2025-11-18 23:00:00,396.0,1,A
2,2025-11-19 00:00:00,170.0,1,A
2,2025-11-19 01:00:00,164.0,1,A
2,2025-11-19 02:00:00,172.0,1,A
2,2025-11-19 03:00:00,197.0,1,A
2,2025-11-19 04:00:00,491.0,1,A
2,2025-11-19 05:00:00,844.0,1,A
2,2025-11-19 06:00:00,1923.0,1,A
2,2025-11-19 07:00:00,3788.0,3,C
2,2025-11-19 08:00:00,3687.0,2,B
2,2025-11-19 09:00:00,3218.0,2,B
2,2025-11-19 10:00:00,3031.0,2,B
2,2025-11-19 11:00:00,3240.0,2,B
2,2025-11-19 12:00:00,3471.0,2,B
2,2025-11-19 13:00:00,3283.0,2,B
2,2025-11-19 14:00:00,3680.0,3,C
2,2025-11-19 15:00:00,4263.0,3,C
2,2025-11-19 16:00:00,4365.0,3,C
2,2025-11-19 17:00:00,4202.0,3,C
2,2025-11-19 18:00:00,3737.0,2,B
2,2025-11-19 19:00:00,2648.0,2,B
2,2025-11-19 20:00:00,2203.0,1,A
2,2025-11-19 21:00:00,1410.0,1,A
2,2025-11-19 22:00:00,844.0,1,A
2,2025-11-19 23:00:00,417.0,1,A
2,2025-11-20 00:00:00,226.0,1,A
2,2025-11-20 01:00:00,230.0,1,A
